id,headline,wins,losses,ties,comparisons,uncertainty
66,"Previewing Tuesday's Primaries in Colorado, Illinois, New York, Oklahoma and Utah",0,1,0,1,1
67,US Gymnasts Criticize FBI's Investigation of Larry Nassar at Senate Hearing,1,0,0,1,1
68,Obama Trump Meet at White House,0,1,0,1,1
69,Perspectives: Marking the One Year Anniversary of George Floyd's Death,1,0,0,1,1
70,U.S. Lawmakers Cite Shortage in Monkeypox Vaccines,0,1,0,1,1
71,Cuomo Declares State of Emergency in New York Over Gun Violence,1,0,0,1,1
72,Jan. 6 Committee Subpoenas 6 Trump Associates,0,1,0,1,1
73,Toni Morrison Passes Away,0,1,0,1,1
74,Perspectives: Do the Environmental Benefits of Nuclear Power Outweigh the Risks?,1,0,0,1,1
75,Former Ambassador to Testify Publicly in Impeachment Probe Friday,1,0,0,1,1
76,Climate Change Deal Reached with China,0,1,0,1,1
77,AP Suing Over Emails,0,1,0,1,1
78,Would Elon Musk's Takeover of Twitter Be Good or Bad?,1,0,0,1,1
79,Turkish Military Offensive in Syria Begins,0,0,1,1,1
80,Analysis of Georgia Election,0,0,1,1,1
81,Hillary Clinton to Announce on Sunday,0,0,1,1,1
82,Gay Marriage in the News,0,0,1,1,1
83,Book By John Bolton Alleges Trump Tied Aid To Investigations,1,0,0,1,1
84,House Delays Resolution Condemning Anti-Semitism,0,1,0,1,1
85,Congress Meets to Confirm Electoral College Results,0,1,0,1,1
86,"Fiona Hill, David Holmes Testimonies End Week of Impeachment Hearings",1,0,0,1,1
87,McCarthy Pulls All Five GOP Members From Jan. 6 Committee After Pelosi Rejects Two of His Appointees,1,0,0,1,1
88,Turkey Shoots Down Russian Jet,0,1,0,1,1
89,$1.9T Stimulus Bill Nears Passage,0,1,0,1,1
90,"4 Dead, More Than 150 Unaccounted For After Miami Building Collapse",0,1,0,1,1
91,"Trump Reverses Course on Stimulus, Urges Congressional Approval",1,0,0,1,1
92,Candidates Fundraise Billions Ahead of Heated Midterm Elections,1,0,0,1,1
93,Debt Ceiling Extension,0,1,0,1,1
94,Immigration Reform In Doubt,1,0,0,1,1
95,"Harris, Biden Mistakenly Mention 'Harris Administration'; Reports Come Mainly from Right-Rated Media",1,0,0,1,1
96,House Passes Gun Bills Despite Likelihood of Failure in Senate,0,1,0,1,1
97,Consumer Prices Rise 4.2% in Largest Yearly Increase Since 2008,0,0,1,1,1
98,Jeb Endorses Cruz,0,0,1,1,1
99,"Trump Taps Lana Marks, Handbag Designer and Mar-a-Lago Member, for Ambassador to South Africa",0,1,0,1,1
100,Will Trump's Defamation Lawsuit Against CNN Succeed?,1,0,0,1,1
101,UK Becomes First Country To Authorize Use Of Merck's COVID-19 Pill,0,1,0,1,1
102,Hannity Backtracks on New York Times Report,1,0,0,1,1
103,"Paul Manafort Sent to Jail, Pending Trial",1,0,0,1,1
104,Labor Day Celebration Canceled After Bombs Found,0,1,0,1,1
105,Trump Admin Suspends Certain Visas Through End of 2020,0,1,0,1,1
106,Perspectives: 'One Nation Under God',1,0,0,1,1
107,Differing Narratives Emerge on SCOTUS Frontrunner Amy Coney Barrett,1,0,0,1,1
108,Democratic WV Governor Goes Republican,0,1,0,1,1
109,Biden's Supreme Court Commission Raises Concerns About Adding Justices,0,0,1,1,1
110,New GOP Primary Polls,0,0,1,1,1
111,"Sanders Releases Doctors' Letters Saying He's ""In Good Health""",0,1,0,1,1
112,Obama on Immigration,1,0,0,1,1
113,Obama to Expand Drug Clemency,1,0,0,1,1
114,Gun Background Check Failure,0,1,0,1,1
115,Theresa May in Peril,1,0,0,1,1
116,US Ends COVID-19 Testing Requirement for International Air Travelers,0,0,1,1,1
117,Breaking Down Legal Questions on Biden's Student Loan Forgiveness Plan,0,1,0,1,1
118,Gay Marriage Upheld in NV and ID,0,0,1,1,1
119,China Orders U.S. Chengdu Consulate To Close Amid Rising Tensions,1,0,0,1,1
120,Kabul Bombing Leaves Shadow Over U.S-Taliban Negotiations,1,0,0,1,1
121,Obama Cuts His Salary,0,1,0,1,1
122,Benghazi Emails Released,0,1,0,1,1
123,Small Company With Zinke Ties Wins Puerto Rico Contract,1,0,0,1,1
124,Gun Control after Colorado,0,1,0,1,1
125,"Syria Signs Paris Climate Accord, U.S. Only Country Opposed",1,0,0,1,1
126,Facts About Hunter Biden's Overseas Business Dealings,1,0,0,1,1
127,Will Boehner Keep His Job,0,1,0,1,1
128,Comey to Testify on Russian Interference,1,0,0,1,1
129,Trump and Kim Jong Un Meet in Singapore,0,1,0,1,1
130,Bernie Closes In On Clinton,1,0,0,1,1
131,Trump Tweets About Global Warming,0,1,0,1,1
132,Trump Year 1 Review,0,1,0,1,1
133,Student Loan Relief Application Goes Live as Questions Remain,1,0,0,1,1
134,Obama Acknowledges Website Problems,0,1,0,1,1
135,US to Donate 500 Million Additional Vaccine Doses to Other Countries,1,0,0,1,1
136,Perspectives: Americans Compare Strategies As Biden Predicts Russia-Ukraine Invasion,0,1,0,1,1
137,"Bipartisan Senate Report on January 6 Finds Intelligence, Security Failures",1,0,0,1,1
138,US Imposes New Sanctions on Russia,1,0,0,1,1
139,Zimmerman Not Guilty,0,1,0,1,1
140,Dallas Shooting Kills At Least 5 Cops,1,0,0,1,1
141,Bannon Returns to Breitbart,0,1,0,1,1
142,White House Announces 17 Medal of Freedom Recipients,1,0,0,1,1
143,Trump Campaign Advisor Pleads Guilty,0,1,0,1,1
144,Snowden Leaves Moscow Airport,0,1,0,1,1
145,Michael Flynn Breaks Ties with Trump’s Lawyers over Russia Probe,1,0,0,1,1
146,July Employment Report,0,1,0,1,1
147,ACA deadline delayed for some employers,1,0,0,1,1
148,John McCain to End Treatment for Brain Cancer,0,1,0,1,1
149,"Unpacking Primary Election Results in Arizona, Michigan, Kansas, Washington and Missouri",1,0,0,1,1
150,Obama focuses agenda on economic inequality,1,0,0,1,1
151,Holder Heads to Ferguson,0,1,0,1,1
152,Budget Deficit Totals Hit $735B through January,0,1,0,1,1
153,"Stacey Abrams's VP Push Glorified, Rebuked by Opposite Sides of Media",1,0,0,1,1
154,"Biden Says US Will Move to End Normal Trade Relations With Russia, Ban More Imports",1,0,0,1,1
155,EU Eases COVID-19 Travel Restrictions for Vaccinated Tourists,0,1,0,1,1
156,"With Labor Day as Backdrop, 2020 Campaigns Try to Satisfy Workers",0,1,0,1,1
157,FDA to Meet to Consider Pfizer-BioNTech Emergency Coronavirus Vaccine Authorization,1,0,0,1,1
158,Questioning From Senators Begins In The Impeachment Trial,1,0,0,1,1
159,Deputy Attorney General suggested using a wire to record President Trump,0,1,0,1,1
160,White House Announces It Will Not Participate In Impeachment Inquiry,0,1,0,1,1
161,Seattle Violence,1,0,0,1,1
162,Men Convicted in Hate Crime Murder of Ahmaud Arbery Get 2nd Life Sentence,1,0,0,1,1
163,Sessions Under Fire,0,1,0,1,1
164,Obamacare Employer Mandate Delayed,0,1,0,1,1
165,Senate Votes to Push Back on Trump's Tariffs,1,0,0,1,1
166,Judge Questions Legality of NSA Phone Records,1,0,0,1,1
167,"Denying Abortion Medication Could Violate Civil Rights Laws, Biden Admin Tells Pharmacies",0,1,0,1,1
168,Two Fox News Contributors Quit in Opposition to Tucker Carlson's Jan. 6 Documentary,1,0,0,1,1
169,"Supreme Court Allows Texas Abortion Law to Remain in Place, Sets Oral Arguments for Nov. 1",0,1,0,1,1
170,America Celebrates Christmas,0,1,0,1,1
171,Trump Gets Jeers and Cheers at UFC Event in NYC,1,0,0,1,1
172,Will the January 6 Committee's Latest Hearing Have an Impact?,1,0,0,1,1
173,Trump Picks State Department Spokeswoman Heather Nauert As Next UN Ambassador,0,1,0,1,1
174,Preparing for 1st Debate,0,1,0,1,1
175,Justice Scalia Dies at 79,1,0,0,1,1
176,White House Disputes Reports on Biden-Ukraine Call,1,0,0,1,1
177,Trump Ends ACA Subsidies,0,1,0,1,1
178,Betsy DeVos to Cancel $150M in Student Loan Debt After Losing Court Battle,0,1,0,1,1
179,Second Woman Accuses Kavanaugh of Sexual Misconduct,1,0,0,1,1
180,Eric Holder Reflects on Career,0,0,1,1,1
181,Ft. Hood Trial,0,0,1,1,1
182,Political and Financial Impact of Brexit,0,0,1,1,1
183,Trump at CPAC,0,0,1,1,1
184,Trump Gives Speech on Afghanistan,0,1,0,1,1
185,Biden Urges Businesses to Prepare ‘Immediately’ for Potential Russian Cyberattacks,0,1,0,1,1
186,Perspectives: Anti-Semitism and Cancel Culture,1,0,0,1,1
187,Snowden Amnesty Deal,1,0,0,1,1
188,"Perspectives: Schools, Families Face Challenging Return to the Classroom",0,1,0,1,1
189,Are Democratic Candidates Ignoring Voter’s Economic Worries?,1,0,0,1,1
190,First Case of Omicron Variant Detected in US,0,1,0,1,1
191,Murder Charge in UVA Death,0,1,0,1,1
192,Biden Defends Comments About Working With Segregationists,1,0,0,1,1
193,"Manafort Has Three Passports, Traveled Under Fake Name",0,1,0,1,1
194,Pandemic Unemployment Benefits Expire For 7.5 Million Americans,1,0,0,1,1
195,Debating Ebola Quarantine,0,1,0,1,1
196,Louisiana State Senate Fails to Override Governor's Veto of Transgender Athlete Ban,1,0,0,1,1
197,David Duke Endorsement for Trump,0,1,0,1,1
198,Bipartisan Civics Education Bill: Warranted Action or Woke Ploy?,1,0,0,1,1
199,Trump Backs House Immigration Bills,0,1,0,1,1
200,Clinton Foundation Acknowledges Mistakes,1,0,0,1,1
201,Analysis of Trump’s Speech to the UN,0,1,0,1,1
202,Filibuster Over Lynch Nomination,1,0,0,1,1
203,Media Reacts to FBI Raid of Mar-a-Lago,1,0,0,1,1
204,Net Neutrality Rules Officially Expire,0,1,0,1,1
205,Austin Bomber Suspect Dead,0,1,0,1,1
206,Judge Blocks Trump's Transgender Health Rule Hours Before It Was to Go Into Effect,1,0,0,1,1
207,Senate to Vote on Amy Coney Barrett's Supreme Court Nomination,0,1,0,1,1
208,Civilian Evacuations Begin in Mariupol,1,0,0,1,1
209,Google Co-founders Step Down From Parent Company,0,1,0,1,1
210,"Al Franken Accused of Sexual Assault, Will Undergo Ethics Probe",1,0,0,1,1
211,Ramadan Mubarak 2020,0,1,0,1,1
212,Hillary Gives Speech on Criminal Justice,1,0,0,1,1
213,"""Trump University"" Documents Unsealed",0,1,0,1,1
214,Bracing for Netanyahu,1,0,0,1,1
215,"GOP Senator Susan Collins to Vote ""Yes"" on Kavanaugh",1,0,0,1,1
216,President Trump Will Pardon Dinesh D’Souza,0,1,0,1,1
217,Mid Term Election Hopes,1,0,0,1,1
218,Preview of Thursday's 2020 Presidential Debate,0,1,0,1,1
219,Arizona Governor Considers Anti-Gay Bill,1,0,0,1,1
220,Allegedly Christie Knew of Closures,0,1,0,1,1
221,Bill Clinton Talks on Night 2,0,1,0,1,1
222,Notre Dame Burns As the World Watches,1,0,0,1,1
223,White House Aide Resigns,1,0,0,1,1
224,Merry Christmas 2015,0,1,0,1,1
225,"U.S. Reaches Nearly 100,000 New Daily COVID-19 Cases",0,1,0,1,1
226,"AOC Responds to Video Portraying Her as ""Enemy of Freedom,"" Opens up About Death Threats",1,0,0,1,1
227,Candidates on Foreign Policy,0,1,0,1,1
228,Reaction to Gorsuch,1,0,0,1,1
229,Americans Among 200 People on Evacuation Flight From Kabul,1,0,0,1,1
230,Hagel Nomination goes to Senate,0,1,0,1,1
231,US Releases Report on Jamal Khashoggi Killing,1,0,0,1,1
232,White House Says Biden to Sign Executive Orders On Gun Measures,0,1,0,1,1
233,The White House to Unveil a $1.5 Trillion Infrastructure Plan,0,0,1,1,1
234,Analysis of the Comcast deal,0,0,1,1,1
235,Fact Check: Reports Misleading on Status of Immigrant Children,1,0,0,1,1
236,Reports Say DACA Is Over,0,1,0,1,1
237,Examining China's Role in the Russia-Ukraine Conflict,0,1,0,1,1
238,Key Clean Energy Program Likely to Be Cut From Budget Bill,1,0,0,1,1
239,Ebola Quarantine Guidelines,0,1,0,1,1
240,Saudi Arabia Bombs Yemen Rebels,1,0,0,1,1
241,Florida Gov. DeSantis Signs ‘Anti-Riot’ Law,1,0,0,1,1
242,Governors to Have Final Say in Re-opening States; Trump Unveils New Virus Guidelines,0,1,0,1,1
243,Gun Legislation Filibuster Threat,1,0,0,1,1
244,US Stays in Iran Nuclear Deal For Now,0,1,0,1,1
245,Court Ruling on Travel Ban,0,0,1,1,1
246,Typhoon Mangkhut Hits China,0,0,1,1,1
247,Analyzing the CNN Debate,0,1,0,1,1
248,White House Requested The USS John S McCain Be Moved,1,0,0,1,1
249,Oscar Pistorius Found Guilty,1,0,0,1,1
250,Biden Signs Inflation Reduction Act Into Law,0,1,0,1,1
251,Congress Leaves Washington,0,1,0,1,1
252,Will Your State Ban Abortion if the Supreme Court Overturns Roe v Wade?,1,0,0,1,1
253,New Supreme Court Term,0,1,0,1,1
254,Congress Passes Bill to Raise Debt Ceiling,1,0,0,1,1
255,Early Voting Breaks Records; Which Party Will Benefit?,1,0,0,1,1
256,Perspectives: Holocaust Remembrance Day,0,1,0,1,1
257,Perspectives: President Trump's Impeachment Acquittal,1,0,0,1,1
258,Hillary’s Economic Speech,0,1,0,1,1
259,No Strategy for ISIS,1,0,0,1,1
260,New Campaign Ads,0,1,0,1,1
261,Perspectives: Kyle Rittenhouse Trial,0,1,0,1,1
262,Stormy Daniels Files Lawsuit Against President Trump,1,0,0,1,1
263,"Comey Calls Trump ""Morally Unfit to be President""",1,0,0,1,1
264,Previewing Tuesday's Primaries and Special Elections,0,1,0,1,1
265,Top US General Expects Ukraine War to Last Years,0,1,0,1,1
266,Rebooting Marco Rubio,1,0,0,1,1
267,Trump’s First 100 Days,0,1,0,1,1
268,Perspective: The COVID-19 Pandemic's Negative Impacts on Youth Mental Health,0,0,1,1,1
269,Vatican Says Church 'Does Not and Cannot' Bless Same-Sex Unions,1,0,0,1,1
270,Not Ready to Support Trump,0,0,1,1,1
271,"Senate Votes 95-1-1 to Ratify NATO Membership for Sweden, Finland",0,1,0,1,1
272,Senate Majority Leader Mitch McConnell Defends The Filibuster,1,0,0,1,1
273,House Passes Biden's $1.9T Spending Bill,0,1,0,1,1
274,Nunes Steps Aside,1,0,0,1,1
275,House Funds Border Wall,0,0,1,1,1
276,GOP Strategy Meeting,0,0,1,1,1
277,2014 State of the Union Preview,0,1,0,1,1
278,New York Times Flip-Flops on Tom Cotton's Op-Ed,1,0,0,1,1
279,Fox News Says It Does 'Not Condone' Hannity and Pirro Participating in Trump Campaign Rally,1,0,0,1,1
280,Tulsa Gunman Bought Gun Hours Before Shooting His Physician and 3 Others,0,1,0,1,1
281,Rand Paul Wins Straw Poll,0,0,1,1,1
282,Minimum Wage Plan,0,0,1,1,1
283,Studies Suggest Omicron is Much Less Severe Than Other COVID-19 Variants,0,1,0,1,1
284,February 2013 Jobs Report,0,1,0,1,1
285,Book Says Gen. Milley Secretly Acted to Limit Trump's Nuclear Powers and Reassure Chinese Counterpart After Jan. 6,1,0,0,1,1
286,Clinton Pulled Into Debate,1,0,0,1,1
287,Levi's Executive Says She Was 'Pushed Out' Over Opposition to COVID-19 School Closures,1,0,0,1,1
288,President Trump Shows Altered Map of Hurricane Dorian,0,0,1,1,1
289,Trump Retweets #FireFauci Tweet,1,0,0,1,1
290,Healthcare Workers Face Coronavirus Up Close,0,1,0,1,1
291,Affluenza Teen Captured,1,0,0,1,1
292,Pete Buttigieg Ends Democratic Presidential Campaign,0,1,0,1,1
293,China Promises Retaliation to US Sanctions Over Uighur Internment Camps,0,1,0,1,1
294,Both Sides Declare Victory in Neil Young-Joe Rogan Spotify Standoff Over COVID-19 Claims,1,0,0,1,1
295,What Does the LA City Council Scandal Reveal About Race and Politics?,0,0,1,1,1
296,GOP Stalls Hagel Nomination,0,0,1,1,1
297,Russia Signals Openness to Diplomacy Despite US Warning of Potential Invasion This Week,0,0,1,1,1
298,Stabbing of British Lawmaker Investigated as Possible Terrorist Attack,0,0,1,1,1
299,Trump Acceptance Speech,0,1,0,1,1
300,President Obama in Israel,0,1,0,1,1
301,How Do We Know if We’re in a Recession?,1,0,0,1,1
302,"Biden to Raise Refugee Cap to 125,000 from Trump’s 15,000",1,0,0,1,1
303,John Conyers’ Sexual Misconduct,1,0,0,1,1
304,Previewing Tuesday's Primaries in New Hampshire and Elsewhere,0,1,0,1,1
306,Trump to Speak at CPAC,0,0,1,1,1
307,"Obama, Trump, and Biden Make Final Midterm Push in Pennsylvania",0,0,1,1,1
308,Aftermath of the Kavanaugh Confirmation,0,1,0,1,1
309,Trump Courts Black Voters,1,0,0,1,1
310,Hypothetical 2016 Elections,0,0,1,1,1
311,Fact Checking the 2nd Dem Debate,0,0,1,1,1
312,Senate Filibuster Changes,0,1,0,1,1
313,Academy Awards Speeches Touch on Unity and Politics to Mixed Reactions,1,0,0,1,1
314,NYT's Controversial Coverage of Sexual Assault Allegation Against Joe Biden,1,0,0,1,1
315,Perspectives: Biden's Attempt to Bring 'Healing' to Kenosha,1,0,0,1,1
316,No Guns for Marijuana Users,0,0,1,1,1
317,What Would Bill’s Role Be?,0,0,1,1,1
318,George Floyd's Brother Testifies Before Congress,0,0,1,1,1
319,Pro-Life March,1,0,0,1,1
320,Trump Calls Mexico’s Bluff,0,1,0,1,1
321,"Reports Say Netanyahu Secretly Met With Saudi Crown Prince, Saudis Deny Meeting Happened",1,0,0,1,1
322,Understanding Caucuses,0,0,1,1,1
323,Senate to Vote on Spending Bill,0,1,0,1,1
324,Pre-Election Jobs Report,0,0,1,1,1
325,Jeff Sessions to Establish 'Religious Liberty Task Force',0,1,0,1,1
326,Trump Warns North Korea,1,0,0,1,1
327,Biden Calls Fox News Reporter a 'Stupid SOB',1,0,0,1,1
328,May Jobs Report Better Than Expected,1,0,0,1,1
329,New York Opens Criminal Investigation of Trump Organization,0,1,0,1,1
330,Invoking the 5th Amendment,0,1,0,1,1
331,Pensacola Shooting Under Investigation After Four Killed,0,1,0,1,1
332,DOJ: Ferguson Police Racially Biased,1,0,0,1,1
333,"Sen. Jeff Flake Calls for Week Delay on Kavanaugh Senate Floor Vote, Requests FBI Investigation",0,1,0,1,1
334,Dem Debates: Round Four,0,1,0,1,1
335,January 6 Committee Says Trump May Have Engaged in Criminal Conduct,1,0,0,1,1
336,"Will US, Russia Hold Ukraine Summit as Tensions Mount?",1,0,0,1,1
337,Syria Strikes Stalled,0,0,1,1,1
338,Xi Jinping Calls for “Rejuvenation of The Chinese Nation” at CCP Congress,0,1,0,1,1
340,"Documents Taken by Trump Contained Classified Information, National Archives Says",0,0,1,1,1
341,"New Hampshire Abolishes Death Penalty, Overriding Governor's Veto in Bipartisan Effort",1,0,0,1,1
342,Japan Restarts Commercial Whaling After Decades,0,0,1,1,1
343,Supreme Court Hears Gun Rights Case,0,0,1,1,1
344,Mississippi Sen. Hyde-Smith Draws Backlash for Joke About 'Public Hanging',0,0,1,1,1
345,Mixed Signals on Gun Control,0,0,1,1,1
346,FDA Authorizes Pfizer's COVID-19 Antiviral Pill,0,0,1,1,1
347,Betsy Devos Rolls Back Title IX,0,0,1,1,1
348,AOC Gives First Endorsement to Moderate Dem's Challenger,0,1,0,1,1
349,Contractors Spread Blame for Healthcare.gov,1,0,0,1,1
351,Megyn Kelly Apologizes for Blackface Comments,1,0,0,1,1
352,Primaries Today In 5 States Test Trump’s Influence,0,1,0,1,1
353,Secretary of Defense James Mattis Resigns,0,0,1,1,1
354,"Food, Gas Prices Rise as Consumer Spending Increases",0,0,1,1,1
355,Should Republicans Support or Oppose Supreme Court Nominee Ketanji Brown Jackson?,1,0,0,1,1
356,Senate Votes to Advance Infrastructure Package,0,0,1,1,1
357,NY Doctor Tests Positive for Ebola,0,0,1,1,1
358,Perspectives: Concerns About Consumer Inflation,1,0,0,1,1
359,Sequester Politics,0,1,0,1,1
360,"President Trump Pays Visit to Troops Overseas, Reopens Talks with Taliban",1,0,0,1,1
361,Trump Legal Team Says Mar-a-Lago Probe has 'Spiraled Out of Control',0,1,0,1,1
362,Calls Mount for Minnesota Freedom Fund Spending Accountability,0,1,0,1,1
363,"Trump Suggests Delaying November Election, Citing Voter Fraud Concerns",1,0,0,1,1
364,Medicare Cuts,1,0,0,1,1
365,2nd Amendment Activists Rally Against Gun Control Legislation in Virginia,0,0,1,1,1
366,"Live Election Results: Republicans Gain in Senate, Democrats Win House",1,0,0,1,1
367,Biden To Require All Federal Employees To Get Vaccinated Or Undergo Regular Testing,0,0,1,1,1
368,Why are Florida Republicans Sparring With Disney?,0,1,0,1,1
369,Arrest Made in Brussels,0,0,1,1,1
370,Work Continues on $1T Bipartisan Infrastructure Bill,0,0,1,1,1
371,Beau Biden Dies at 46,0,0,1,1,1
372,"Democrats Warnock, Ossoff Projected to Win Georgia Runoffs; Party Will Likely Control Senate",0,0,1,1,1
373,Trump Compares US and Russia,0,0,1,1,1
374,Obamacare Ruling,0,1,0,1,1
375,Debate Commission Will Mute Microphones at Upcoming Presidential Debate,1,0,0,1,1
376,FCC Proposes New Rules,0,0,1,1,1
377,Russia Accused of Doping,1,0,0,1,1
378,Bobby Jindal for President,0,1,0,1,1
379,Julián Castro Drops Out of Primaries,0,0,1,1,1
380,5th Anniversary of Stimulus Plan,0,0,1,1,1
382,Biden Leads Vote Count; Trump Initiates Legal Challenges,0,0,1,1,1
383,Hurricane Ian: Florida Begins Recovery as Storm Moves Toward South Carolina,0,0,1,1,1
384,Fact Check: Is There Over $1 Trillion in Unspent COVID-19 Relief Funds?,1,0,0,1,1
385,Mueller Teams Up With IRS,0,1,0,1,1
386,"President Trump Plans Executive Order, Sanctions on Turkish Government",0,1,0,1,1
387,Controversial Anti-Gay Bill,1,0,0,1,1
388,What Role Did Border Patrol Agents Have in Killing the Uvalde School Shooter?,1,0,0,1,1
389,Fiscal Cliff Deadline Approaches,0,1,0,1,1
390,Gowdy and Benghazi,0,1,0,1,1
391,"Ted Cruz, Anthony Fauci Engage in War of Words",0,0,1,1,1
392,Tanks And Flyovers Are Planned For July 4th In Washington,1,0,0,1,1
393,Massive Earthquake Hits Mexico,1,0,0,1,1
394,Obamacare Survives SCOTUS Challenge,1,0,0,1,1
395,SCOTUS Upholds Lethal Injection,0,0,1,1,1
396,Trump Tweets About Russian Election Interference,0,1,0,1,1
397,"HHS Secretary Becerra Says Comments About ""Government's Business"" and Vaccination Status Were Taken Out of Context",0,1,0,1,1
398,Perspectives: The Safety and Practicality of COVID-19 Vaccine Development,1,0,0,1,1
399,House Votes to Keep Plans,0,1,0,1,1
400,Scott Walker Endorses Ted Cruz,0,1,0,1,1
401,"Coronavirus Stunts Global Travel, Affects Airlines",1,0,0,1,1
402,Rand Paul Filibuster,0,0,1,1,1
403,"U.S. Coronavirus-Related Death Count Reaches 600,000",0,0,1,1,1
404,Copenhagen Shooting,0,0,1,1,1
