headline,source,label
"Dueling speeches: Obama, Romney target Ohio",Washington Times,right
"National Guard troops kicked out of Senate are back in Capitol following outrage from lawmakers, public",Military Times,center
National Guard break time in Capitol-area parking garage gets lawmakers fuming,Fox News (Online News),right
National Guard allowed back into Capitol complex after lawmakers erupt at banishment to parking garage,CNN (Online News),left
"After Pledging to Decriminalize Illegal Border Crossings, Harris Will Lead Border Crisis Response",Washington Free Beacon,right
Vice President Harris will oversee effort to resolve problems at U.S.-Mexico border,CNBC,center
Biden assigning Harris to lead diplomatic efforts in Central America to address immigration,CNN (Online News),left
U.S. Inflation Hits New Four-Decade High of 9.1%,Wall Street Journal (News),center
"US Inflation Quickens to 9.1%, Amping Up Fed Pressure to Go Big",Bloomberg,left
"Inflation jumps to 9.1%, highest in four decades",Washington Examiner,right
"Rising Pace of Hiring Adds to Optimism, but Wages Lag",New York Times (News),left
"US added 295,000 jobs in February as unemployment rate dips to 5.5 percent",Fox News (Online News),right
"U.S. Adds Jobs at Steady Clip, but Wage Growth Remains Soft",Wall Street Journal (News),center
China expands its amphibious forces in challenge to U.S. supremacy beyond Asia,Reuters,center
"US Closes China's Houston Consulate, China Considers Wuhan Retaliation",Newsmax (News),right
US defense chief pushes allied effort to challenge China,CNN (Online News),left
Europe’s heatwave moves north as UK braces for hottest day on record,The Guardian,left
UK heatwave sees highest-ever temperatures recorded,BBC News,center
UK braces for record-breaking temperatures as heatwave plunges Brits into chaos,New York Post (News),right
Fact-checking President Trump’s news conference,Washington Post,left
Trump's marathon media-bashing presser: Did he go too far?,Fox News (Online News),right
Trump -- under fire -- returns to the campaign,CNN (Online News),left
Barr Blasts His Own Prosecutors: 'All Power Is Vested In The Attorney General',NPR (Online News),left
Barr says calls for coronavirus lockdown are the 'greatest intrusion on civil liberties' other than slavery in US history,CNN (Online News),left
Barr says rumors Trump would refuse to leave office if he loses election are 'crap',Fox News (Online News),right
Ukraine Refuses Russia’s Request to ‘Lay Down Arms’ and Surrender Mariupol by Monday Deadline,The Epoch Times,right
Ukraine rejects Russian demand for surrender in Mariupol,Associated Press,left
Ukraine rejects Kremlin’s call to surrender Mariupol amid intense street fighting,Washington Post,left
"As House GOP faces decision on its future, McConnell defends Cheney, rebukes Greene in rare set of statements",Washington Post,left
"McConnell takes sides: Marjorie Taylor Greene theories a 'cancer' for GOP, while Cheney has 'courage'",Washington Examiner,right
"Mitch McConnell condemns Marjorie Taylor Greene's 'loony lies,' defends Liz Cheney",USA TODAY,left
Canadian parliament condemns Trump attacks on Trudeau,The Hill,center
Trudeau’s Challenge: Managing Trump and Domestic Politics,New York Times (News),left
Trump's attacks against Trudeau unanimously condemned by Canadian lawmakers,Washington Times,right
5 Takeaways From Obama's Susan Rice Appointment,NPR (Online News),left
The real reason Obama tapped Susan Rice for national security adviser,Fox News (Online News),right
National security team shuffle may signal more activist stance at White House,Washington Post,left
"DHS memo warning of Russian efforts to denigrate Trump's, Biden's health dismissed as poor quality, officials say",Fox News (Online News),right
DHS withheld July intelligence bulletin calling out Russian attack on Biden’s mental health,ABC News (Online),left
DHS withheld note warning of Russian attacks on Biden's mental health,Axios,center
Jan. 6 Committee Probes Trump Phone-Logs Gap,Wall Street Journal (News),center
Jan. 6 committee probing 7.5 hour gap in White House phone logs,Fox News (Online News),right
White House records turned over to House show 7-hour gap in Trump phone log on Jan. 6,CBS News (Online),left
Fact check: The ninth Republican debate,USA TODAY,left
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",Fox News (Online News),right
3 winners and 2 losers from Saturday night's Republican debate,Vox,left
Top US lawmakers strike deal to fast-track trade deals,Fox News (Online News),right
Senators Introduce ‘Fast Track’ Trade Bill,Wall Street Journal (News),center
Deal Reached on Fast-Track Authority for Obama on Trade Pact,New York Times (News),left
"Kentucky flooding death toll reaches 15 and may double, governor says",Fox News (Online News),right
Appalachian floods kill at least 15 as rescue teams deploy,Associated Press,left
"At least 15 people are dead after Kentucky's catastrophic flooding, and the death toll is expected to rise",CNN (Online News),left
Heavily Redacted Democratic Memo Counters GOP Account of Russia Probe,Bloomberg,left
Democrats' new Russia memo is an anti-Trump political attack,Fox News (Opinion),right
Trump Claims Democrats’ Memo ‘Really Verifies’ GOP Memo,Daily Beast,left
"As Trump Arrives in Israel, His Deal-Making Skills Face a Test",New York Times (News),left
Trump lands in Israel: What to watch,CNN (Online News),left
Trump tells Israelis: Arab neighbors in ‘common cause with you’ against Iran,Fox News (Online News),right
FDA Approves Remdesivir for Hospitalized COVID-19 Patients After Drug Was Used to Treat Trump,Newsweek,center
FDA approves antiviral drug remdesivir as coronavirus treatment,Washington Examiner,right
FDA approves remdesivir as treatment for COVID-19 patients in hospital,USA TODAY,left
Obama feels ‘small’ compared with members of the U.S. Marines,Washington Times,right
Obama to service members: We never take you for granted,CNN (Online News),left
President Obama Honors Military Families In Christmas Address,HuffPost,left
Michigan Orders Faith-Based Adoption Agencies to Violate Their Religious Beliefs,CBN,right
Michigan deal bars LGBTQ discrimination in state adoptions,NBC News (Online),left
Michigan will no longer fund adoption agencies that refuse gay parents,The Hill,center
Officer charged with murder after shooting man in back: What we know,CNN (Online News),left
White SC officer charged with murder in shooting death of black man,Fox News (Online News),right
Video Shows Officer Michael Slager Shooting Unarmed Black Man In The Back In South Carolina,HuffPost,left
Time magazine names Pope Francis its 'Person of the Year',Washington Post,left
"Pope Francis Is Person Of The Year, 'Time' Says",NPR (Online News),left
"Pope Francis' common touch, uncommon influence",Fox News (Online News),right
Supreme Court won't hear Trump bid to end DACA program,CNN (Online News),left
"In major win for immigrant youth, SCOTUS denies Trump request to take up DACA case By Gabe Ortiz Monday Feb 26, 2018 · 10:07",Daily Kos,left
Supreme Court rejects administration appeal over DACA,Fox News (Online News),right
Biden’s ‘Armageddon’ talk edges beyond bounds of US intel,Associated Press,left
Pompeo rips Biden's 'reckless' Armageddon remark: 'One of the greatest foreign policy failures',Fox News (Online News),right
Kirby: Biden ‘Armageddon’ remark reflects ‘the very high stakes that are in play’,The Hill,center
"Trump’s “election integrity” commission wants every voter’s name, party ID, and address",Vox,left
More than half the states refusing to provide voter data to Trump election panel,The Hill,center
Liberal States Get Jittery as Trump Looks to Clamp Down on Voter Fraud,Breitbart News,right
Madeleine Westerhout: White House aide fired after leaks on Trump family,BBC News,center
Trump's 'gatekeeper' resigns abruptly,Washington Examiner,right
Trump's personal assistant abruptly exits White House after sharing details about President's family,CNN (Online News),left
Florida GOP Wants to Ban Making White People Feel ‘Discomfort’ About Racism,Vice,left
Florida could shield whites from ‘discomfort’ of racist past,Associated Press,left
What the Florida CRT Bill Actually Says,Dan McLaughlin,right
"White House says Biden will increase refugee cap this year, after Dem fury over original target",Fox News (Online News),right
"After criticism, Biden says he will raise U.S. cap on refugee admissions",Reuters,center
"After outcry, Biden plans to lift refugee cap in May",Washington Post,left
Hirono: Anti-Asian hate bill chance for Senate to 'take a stand',ABC News (Online),left
Senate moves toward bipartisan endgame on AAPI hate crimes legislation,Roll Call,center
Senate advances measure to curb anti-Asian American hate crimes,Washington Examiner,right
Iran nuclear deal: Trump pulls US out in break with Europe allies,BBC News,center
"Trump withdraws from Iran nuclear deal, isolating him further from world",CNN (Online News),left
The Day The Iran Deal Died,The Daily Wire,right
Trump's base-focused midterm approach tested in Ohio and Kansas races Tuesday,CNN (Online News),left
Trump faces political test in Ohio as five states cast votes,Reuters,center
"Tuesday's primaries a test of Trump's influence, hold potential for upsets: A look at the races to watch",Fox News (Online News),right
"Istanbul airport reopens after terror attack leaves 41 dead, 239 injured",Fox News (Online News),right
"Istanbul airport resumes flights amid blood, shattered glass",CNN (Online News),left
Istanbul Airport Attack Leaves at Least 41 Dead,New York Times (News),left
Bernie Sanders secures five minutes with Pope Francis,Politico,left
"Sanders’ Visit With Pope Francis Confirmed, Implications of Vatican Trip Could Win Him New York",The Blaze,right
Bernie Sanders says private Meeting with Pope Francis is not an endorsement,Washington Post,left
OPINION: Iowa: Revenge of the outsiders,Guest Writer,center
OPINION: Marco Rubio and Bernie Sanders were the real winners in Iowa,Ruth Marcus,left
OPINION: Trump fever has broken. Cruz out-organized him. Here's what's next,Guest Writer - Right,right
America's economic recovery hits a major roadblock,CNN Business,left
"Delta variant, shortages severely restrict U.S. economic growth in third quarter",Reuters,center
Economic Growth Slows to 2 Percent on Slowdown in Consumer Spending and COVID-19 Impacts,The Epoch Times,right
"10 Senate Republicans Outline $600B Counteroffer, Will Meet With Biden Monday",NPR (Online News),left
"Biden, GOP senators to discuss slimmed-down Covid relief bill pitch",NBC News (Online),left
GOP senators to meet Biden Monday on coronavirus relief as Dems ready to pass bill without Republican support,Fox News (Online News),right
Federal agency recommends Kellyanne Conway be fired from White House,Chicago Sun-Times,left
Government watchdog: Trump aide Conway should be fired for political comments,Reuters,center
Office of Special Counsel Formally Requests Kellyanne Be Relieved of Her Duties,Townhall,right
"Trump warns post-hurricane Puerto Rico, says FEMA won’t stay 'forever'",Fox News (Online News),right
Trump loses patience with Puerto Rico,BBC News,center
Trump threatens to abandon Puerto Rico recovery effort,Washington Post,left
"If the media speaks with one voice, Trump will have to listen",CNN (Opinion),left
Commentary: Newspapers don't help themselves by coordinating against Trump,Michael Graham,right
US newspapers to Trump: We’re not enemies of the people,Associated Press,left
Miami building collapse: Remaining section of Surfside tower is demolished with explosives,Yahoo News,left
Search back on after rest of South Florida condo demolished,Associated Press,left
Search crews return after Surfside condo building's standing portion brought down with explosives,Fox News (Online News),right
Pelosi stumbles on alleged harassment in her own ranks,NBC News (Online),left
John Conyers Steps Down From Judiciary Committee Role Amid Sexual Misconduct Claims,NPR (Online News),left
Pelosi faces backlash for questioning Conyers accusers,Fox News (Online News),right
Dems Unveil 2021 Agenda to Tackle Climate Change as Wildfires Rage on West Coast,Newsmax (News),right
"Wild weather this year shows growing impact of climate change, scientists say",Reuters,center
Corporate broadcast TV news fails to make crucial connection between record-breaking California wildfires and climate crisis,Media Matters,left
What Does Steve Bannon Want?,New York Times (News),left
Where did Steve Bannon get his worldview? From my book.,Washington Post,left
Steve Bannon outlines his plan to 'deconstruct' Washington,CNN (Online News),left
White House officials eyeing payroll tax cut in effort to reverse weakening economy,Washington Post,left
White House denies exploring payroll tax cut to offset worsening economy,The Hill,center
Team Trump eyes payroll tax cut to spur economy: report,New York Post (News),right
Trump threatens to fire Fauci in rift with disease expert,Associated Press,left
Trump Hints at Firing Fauci After Election,Newsmax (News),right
Trump hints that he’ll fire Fauci after Election Day,Politico,left
"Clinton Leads Nationally, But Struggles In Some Battleground States",HuffPost,left
Trump and Clinton Tied in Latest Poll,Daily Beast,left
"Trump surges in battleground, national polls",Fox News (Online News),right
Obama cancels Putin meeting over Snowden asylum,Washington Times,right
Obama Cancels One-On-One Meeting With Putin,NPR (Online News),left
Obama Cancels Meeting With Putin Over Snowden,HuffPost,left
"George Will: Ã¢â‚¬ËœQuite Literally, The Opposition to Gay Marriage Is DyingÃ¢â‚¬â„¢",ABC News (Online),left
Same-sex couples in Washington start taking wedding vows,Fox News (Online News),right
Same-Sex Issue Pushes Justices Into Overdrive,New York Times (News),left
Judge orders New York Times to get rid of Project Veritas memos,Axios,center
Project Veritas Scores ANOTHER victory with Judge’s order in defamation lawsuit against New York Times,Project Veritas,right
A Dangerous Court Order Against The New York Times,New York Times (Opinion),left
US to Send Ukraine Advanced Rockets; Kyiv Promises Not to Fire Into Russia,Defense One,center
Biden approves sending advanced rockets to Ukraine,The Post Millennial,right
Biden admin will provide Ukraine with longer-range rocket systems,NBC News (Online),left
"Portland mayor tear-gassed by federal agents, riot declared",Fox News (Online News),right
Portland mayor tear gassed after speaking with protesters on presence of federal agents,CNN (Online News),left
Portland mayor tear gassed alongside protesters,The Hill,center
U.S. FDA to bring outside experts to review COVID-19 vaccines,Reuters,center
"Large study shows COVID-19 antibodies last 4 months, bolstering vaccine hopes",New York Post (News),right
Fauci predicts 'safe and effective' coronavirus vaccine by end of year,NBC News (Online),left
Kremlin: Report of Putin meddling in U.S. election is 'nonsense',USA TODAY,left
"Putin Personally Managed Hacks, Had ‘Vendetta’ Against Hillary",The Daily Caller,right
U.S. Officials: Putin Personally Involved in U.S. Election Hack,NBC News (Online),left
Hillary's Numbers Plunge in Wake of ‘Clinton Cash Revelations,Breitbart News,right
Poll: New speed bumps for Clinton,CNN (Online News),left
"Frontrunner angst: Bush lead evaporates, Clinton favorability hits 7-year low",Washington Post,left
At Least 150 Killed in Shootings Across the U.S. During July 4th Weekend,Slate,left
Bloody July Fourth weekend leaves 150 fatally shot in more than 400 shootings nationwide,Fox News (Online News),right
4th Of July Shootings Across The Country Kill More Than 180 This Year,NPR (Online News),left
Democrats: Amy Coney Barrett Will Strip Millions of Health Insurance,Mother Jones,left
"Amy Coney Barrett nominated by Trump for Supreme Court, setting up contentious battle weeks before election",Washington Examiner,right
"Trump taps Amy Coney Barrett for Supreme Court, setting up confirmation sprint",The Hill,center
First federal execution in 17 years carried out in Indiana after Supreme Court cleared way,NBC News (Online),left
US carries out first federal execution in 17 years,Washington Examiner,right
First federal prisoner in 17 years executed hours after Supreme Court decision,The Hill,center
"At Bipartisan Budget Meeting, Familiar Hurdles but a New Attitude",New York Times (News),left
Pressure intensifies for GOP to raise taxes on rich,Washington Times,right
Obama Asks for Prayer on Budget Deal,CNN (Online News),left
Donald Trump: Democrats 'Medicare for All' plan will demolish promises to seniors,Donald Trump,right
Trump rips Dems’ embrace of Medicare for all: ‘The centrist Democratic Party is dead’,The Hill,center
Trump files op-ed bashing Democrats on Medicare for all,CNN (Online News),left
U.S. judge refuses to toss suit against Trump on foreign payments,Reuters,center
Judge allows emoluments lawsuit against Trump to go forward,Washington Examiner,right
Judge rules Trump can be sued for profits at Trump International Hotel in D.C.,Vice,left
"Trump impeachment backfires on Democrats, and Nancy Pelosi has a meltdown",Guest Writer - Right,right
Why Mitt Romney's courageous vote to convict Trump matters,The Hill,center
Acquittal is not exoneration,CNN (Online News),left
Armed Extremists Just Escalated Oregon’s Fight Over Climate Legislation,Mother Jones,left
Runaway Oregon Republicans ready to dodge state troopers until legislative clock runs out,Washington Times,right
Oregon GOP lawmakers who fled capitol to avoid climate bill vote face $500 daily fines,The Hill,center
Obama Convention Bounce Confirmed In Latest Tracking Polls,HuffPost,left
"Confirmed: Despite Recycled DNC Speech, Obama Gets Poll Bounce",Townhall,right
"Obama Got The Convention Bounce, As Well As Bad Economic Numbers",NPR (Online News),left
"CDC ‘Revises’ Mask Guidance: Some Vaccinated Individuals Should Return To Masking Indoors, Everyone Should Mask In K-12 Schools",The Daily Wire,right
CDC: Vaccinated people should now wear masks in high transmission areas,The Hill,center
"CDC updates guidance, recommends vaccinated people wear masks indoors in certain areas",CNN (Online News),left
"Republicans sharpen 'fraud' claims, Democrats compare Scott to a 'dictator' as Florida recount ramps up",CNN (Online News),left
Florida Recounts Begin as Both Sides Dig In for Fight,Wall Street Journal (News),center
Rick Scott challenges ballots counted after deadline as Florida recount drama begins,Washington Times,right
The Pull and Push Of The Unemployment Debate,ABC News (Online),left
Divided Senate To Vote On Extending Unemployment Benefits,NPR (Online News),left
Showdown set on unemployment bill in Senate,Townhall,right
Obama: Congress endangers national security with Lynch delay,Washington Times,right
Eric Holder: Attorney General for life?,CNN (Online News),left
Obama On Loretta Lynch: 'You Don't Hold Attorney General Nominees Hostage',HuffPost,left
Ind. to ‘clarify’ new law decried as anti-gay,Washington Post,left
"Pence vows to 'fix' religious freedom law, ensure 'no license to discriminate'",Fox News (Online News),right
OPINION: The insane national freak-out over Indiana's religious freedom law,The Week - News,left
Fact checking the 2015 State of the Union address,Washington Post,left
Fact-checking Obama's 'State of the Union' address (+video),Christian Science Monitor,center
Obama’s State of the Union Speech Gets Fact-Checked,The Blaze,right
Ted Cruz Wins Wyoming Presidential Nominating Contest,HuffPost,left
"Fresh Off Wyoming Sweep, Cruz Targets More Trump Supporters",Newsmax (News),right
Trump massacred in delegate fights once more,Politico,left
Stephen Miller Is an Immigration Hypocrite. I Know Because I’m His Uncle.,Politico,left
"Stephen Miller’s uncle calls Miller an ‘immigration hypocrite,’ compares Trump to Nazis",The Hill,center
Immigration and the ‘Hypocrisy’ Charge,National Review,right
Justice Department appeals latest travel ban setback to Supreme Court,Politico,left
Trump administration appeals Hawaii court ruling on travel ban,Fox News (Online News),right
Trump administration says it will go to Supreme Court after Hawaii judge expands travel ban exemptions,Los Angeles Times,left
Trump pulls security clearance of ex-CIA Director John Brennan,Politico,left
OPINION: Trump is wrong to suspend John Brennan's clearance,Washington Examiner,right
Trump ties revoking Brennan clearance to Russia probe,The Hill,center
Presidential Election: Trump Goes on the Attack as Early Voting Shapes Campaign’s Final Weekend,New York Times (News),left
Florida Early Voting Nears 5.3 Million,Newsmax (News),right
Early Voting Data Shows Who’s Turning Out,Wall Street Journal (News),center
Stormy Daniels: Trump discloses payment to reimburse lawyer,BBC News,center
Trump Finally Fesses Up to Reimbursing Michael Cohen,The Atlantic,left
Trump met federal disclosure requirement by reimbursing Cohen for Stormy Daniels payment: Government,Washington Times,right
Evasive COVID-19 subvariants that you don’t know about are spreading fast,Poynter,center
What the White House sees coming for COVID this winter,NPR (Online News),left
What to know about new COVID variants BQ.1 and BQ1.1,Washington Examiner,right
"Obama: Russia Doesn't Share US Values, Putin 'Protecting' Assad",Newsmax (News),right
Sen. John McCain: Russia not serious on Syria,Washington Post,left
"Obama: 'Trust, but verify' on Putin's Syria plan",USA TODAY,left
"Trump to CPAC: ‘Now you finally have a president, finally’",Washington Post,left
Trump At CPAC: 'The Era Of Empty Talk Is Over',NPR (Online News),left
"Trump hails conservative support at CPAC, slams ‘fake’ media",Washington Times,right
Hot November inflation report was probably the best the White House could have hoped for at this point,Thomas Franck,center
The Inflation Suspense Goes On,Paul Krugman,left
Inflation — from WIN to DIN,Andrew Stuttaford,right
House Republicans Unveil Tax-Cut Bill Ahead of Election Push,Bloomberg,left
House Republicans move to lock in cuts with Tax Reform 2.0,Washington Times,right
House Republicans seek permanent tax cuts as elections loom,ABC News (Online),left
"U.S. job market stumbles in May, adding just 138,000 jobs",Washington Post,left
"May Jobs Report: 138,000 More On Payrolls; Unemployment Dips Slightly",NPR (Online News),left
Unemployment at 16-Year Low in May Jobs Report,Townhall,right
Defiant Trump refuses to apologize to McCain,CNN (Online News),left
"Donald Trump Says John McCain Is No War Hero, Setting Off Another Storm",New York Times (News),left
"Donald Trump says he doesn’t owe an apology to Sen. John McCain, who ‘let us down’",Washington Times,right
Germanwings Co-Pilot Practiced Crash Hours Before It Happened,The Blaze,right
"Germanwings Co-Pilot Appears to Have Tried to Rehearse Fatal Dive, Report Says",New York Times (News),left
Investigators: Germanwings crash co-pilot tried a dry run,USA TODAY,left
Russia moves troops and U.S. sends weapons as fear of war mounts in Ukraine,Washington Post,left
"Russia announces military exercises amid standoff with US, NATO over Ukraine",The Hill,center
NATO chief announces alliance will not deploy combat troops to Ukraine,Washington Examiner,right
Multiple foreign nationals charged in alleged schemes to send military technology to Russia,CNN (Online News),left
Moscow says U.S. sanctions charges against 5 Russians are 'cynical' bid to intimidate,Reuters,center
Russians Charged With Smuggling Millions Of Barrels Of Venezuelan Oil To China,The Daily Caller,right
Florida’s governor celebrated his anti-mandate Covid laws. Now Omicron is here,The Guardian,left
Does Florida Now Have Lowest Daily U.S. COVID Cases Per Capita?,Newsweek,center
"DeSantis Hails Major Florida Hospital System’s Decision To End Vaccine Mandate For 83,000 Employees",The Daily Wire,right
Jobless Claims Fall to 3.84 Million,Breitbart News,right
30 million Americans have lost their jobs in 6 weeks,Vox,left
Over 3.8 Million Americans Filed for Jobless Benefits Last Week as States Struggle With Coronavirus Claims Surge,Wall Street Journal (News),center
House approves bills tightening background checks on guns,The Hill,center
House approves gun control bills expanding background checks,CBS News (Online),left
Schumer pledges Senate vote on gun bill passed by House: 'No more ... thoughts and prayers',Fox News (Online News),right
Bipartisan U.S. lawmaker group to unveil $1.5 trillion COVID-19 aid bill,Reuters,center
Rank-and-file House members achieve rare bipartisan consensus in bid to press Hill leaders to cut stimulus deal,CNN (Online News),left
Bipartisan lawmakers offer coronavirus relief solution in effort to break logjam,Fox News (Online News),right
"Chris Cuomo mum on big brother’s scandal, observers say CNN botched chance to showcase journalism standards",Fox News (Online News),right
The Cuomo brothers: Report places a new spotlight on a unique relationship,CNN Business,left
"Remember, the National Media Deliberately Chose to Celebrate Andrew Cuomo",Jim Geraghty,right
"Trump Announces National Emergency, Expanded Testing, More Money and Flexibility on Virus Response",Newsmax (News),right
Trump declares national emergency to bolster funding for fighting virus outbreak,Associated Press,left
Here's what Trump's coronavirus emergency declaration does,CNN (Online News),left
"Trump may have been unclear, but Sweden experiencing a migrant crime wave",Fox News (Online News),right
Amusement and bemusement over Trump's remarks about 'last night in Sweden',CNBC,center
White House says Trump's Sweden comment referred to 'rising crime',The Guardian,left
Parler CEO: Tech Companies Coordinated Plan to Close Us Down,Newsmax (News),right
Amazon Is Booting Parler Off Of Its Web Hosting Service,BuzzFeed News,left
"Amazon to drop Parler from its web hosting service, citing violent posts",CNBC,center
"Postal Service future in question after first-ever default, lawmakers stuck on a deal",Fox News (Online News),right
Postal service can't pay its bills,CNN (Online News),left
Pelosi to introduce resolution condemning Trump's 'go-home' comments,Washington Times,right
"As Trump doubles down on racist comments, House to vote on condemning them",Los Angeles Times,left
Pelosi announces House resolution to condemn Trump's 'xenophobic tweets',The Hill,center
"Support wanes for repeal of Obamacare, surveys suggest",Chicago Tribune,center
Getting Repeal Right,Townhall,right
"Unskew this! Desperate GOP Obamacare ploy fails, again",Salon,left
Saudi Arabia sentences five to death in killing of Jamal Khashoggi,Washington Examiner,right
"Saudi sentences five to death, three to jail over Khashoggi murder",Reuters,center
Saudi Arabia sentences five to death for Khashoggi murder but clears three top officials,CNN (Online News),left
Trump campaign denies showing massacre in 'Church of Fake News' parody video at Doral,Washington Times,right
Macabre Video of Fake Trump Shooting Media and Critics Is Shown at His Resort,New York Times (News),left
Fake video of Trump shooting media and political opponents shown at conference: New York Times,USA TODAY,left
Roy Moore to Run Again for Alabama Senate Seat Despite Sexual-Misconduct Allegations,National Review,right
‘This place has enough creepy old men’: GOP vows to crush Roy Moore,Politico,left
How Roy Moore Could Actually Win Alabama’s Republican Senate Primary,FiveThirtyEight,center
Pence might share a ticket with Trump but not a worldview,CNN (Online News),left
CNN: Trump Considered Dumping Pence Late Last Night,Townhall,right
Top GOP Operative: Mike Pence Once Thought Trump Was ‘Unacceptable.’ Now He’s The VP Pick.,HuffPost,left
"Unemployment rate drops to 13.3% in May, signaling return of US jobs",Fox News (Online News),right
Dow rallies more than 700 points after shocking record surge in U.S. jobs,CNBC,center
"May jobs report: US economy unexpectedly adds 2.5 million payrolls, unemployment rate falls to 13.3%",Yahoo News,left
"America, Meet Your New Republican Bosses",HuffPost,left
"Obama, Congress prepare for new reality after GOP sweep",USA TODAY,left
"Republicans take control of Congress: Can Obama, GOP end ‘perpetual conflict’?",Fox News (Online News),right
Behind Mark Sanford's turnaround,Politico,left
5 things we learned from Sanford's win,CNN (Online News),left
Former S.C. Gov. Sanford headed back to Congress after defeating Colbert Busch,Washington Times,right
World remembers Holocaust as antisemitism rises in pandemic,Associated Press,left
Politicizing the Holocaust dehumanizes us all,CNN (Opinion),left
Holocaust Remembrance Day – why we must never forget,Fox News (Opinion),right
Hong Kong protesters storm government building over China extradition bill,CNN (Online News),left
Hong Kong demonstrators storm government building amid protests on anniversary of return of Chinese rule,Fox News (Online News),right
Hong Kong protesters smash up legislature in direct challenge to China,Reuters,center
The Jones Act Waiver For Puerto Rico Just Expired And Won’t Be Renewed,HuffPost,left
White House lets Jones Act waiver expire for Puerto Rico,The Hill,center
DHS won't extend Jones Act waiver for Puerto Rico,Washington Examiner,right
CDC urges kids ages 16-17 to get newly cleared boosters; your 3rd shot unlikely to be your last,USA TODAY,left
"US expands Pfizer COVID boosters, opens extra dose to age 16",Associated Press,left
CDC Recommends All 16- and 17-year-olds Get COVID-19 Booster Shots,The Epoch Times,right
"Obama, Romney to break from trail ahead of debate",Washington Post,left
Presidential Debates: The One Area Where Campaigns Pitch Their Weakness,NPR (Online News),left
Campaigns launch into expectations game ahead of vital presidential debate,Fox News (Online News),right
Video potential worry for Obama campaign,Politico,left
Conservative media coordinates on release of old Obama video,CNN (Online News),left
Video surfaces of Obama in 2007 suggesting racism slowed aid to post-Katrina New Orleans,Fox News (Online News),right
